date,home_score,away_score,tournament,city,country,neutral,home_id,away_id,tier,match_id,home_team_name,away_team_name,shootout_winner_id
2002-06-07,0,1,FIFA World Cup,Sapporo,Japan,true,argentina,england,world_cup,20020607-argentina-england,Argentina,England,
2002-06-21,1,2,FIFA World Cup,Fukuroi,Japan,true,england,brazil,world_cup,20020621-england-brazil,England,Brazil,
2002-06-30,0,2,FIFA World Cup,Yokohama,Japan,true,germany,brazil,world_cup,20020630-germany-brazil,Germany,Brazil,
2002-11-20,1,3,Friendly,Gelsenkirchen,Germany,false,germany,netherlands,friendly,20021120-germany-netherlands,Germany,Netherlands,
2003-02-12,1,0,Friendly,Amsterdam,Netherlands,false,netherlands,argentina,friendly,20030212-netherlands-argentina,Netherlands,Argentina,
2003-02-12,3,1,Friendly,Palma de Mallorca,Spain,false,spain,germany,friendly,20030212-spain-germany,Spain,Germany,
2003-08-20,0,1,Friendly,Stuttgart,Germany,false,germany,italy,friendly,20030820-germany-italy,Germany,Italy,
2003-11-15,0,3,Friendly,Gelsenkirchen,Germany,false,germany,france,friendly,20031115-germany-france,Germany,France,
2004-03-31,0,0,Friendly,Rotterdam,Netherlands,false,netherlands,france,friendly,20040331-netherlands-france,Netherlands,France,
2004-04-28,1,1,Friendly,Genoa,Italy,false,italy,spain,friendly,20040428-italy-spain,Italy,Spain,
2004-05-20,0,0,Friendly,Saint-Denis,France,false,france,brazil,friendly,20040520-france-brazil,France,Brazil,
2004-06-02,3,1,FIFA World Cup qualification,Belo Horizonte,Brazil,false,brazil,argentina,qualifier,20040602-brazil-argentina,Brazil,Argentina,
2004-06-13,2,1,UEFA Euro,Lisbon,Portugal,true,france,england,continental,20040613-france-england,France,England,
2004-06-15,1,1,UEFA Euro,Porto,Portugal,true,germany,netherlands,continental,20040615-germany-netherlands,Germany,Netherlands,
